Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,Cases_28_Days,Deaths_28_Days
Trinidad and Tobago,2022-04-09 09:20:32,10.6918,-61.2225,139973,3774,,,10001.70776375125,7590,98
Tunisia,2022-04-09 09:20:32,33.886917,9.537499,1037358,28425,,,8777.320664734236,16812,407
Turkey,2022-04-09 09:20:32,38.9637,35.2433,14946379,98342,,,17721.774180878714,432605,2125
US,2022-04-09 09:20:32,40.0,-100.0,80386635,985205,,,24399.047534706304,878705,20905
Uganda,2022-04-09 09:20:32,1.373333,32.290275,163972,3596,,,358.4792636802868,443,2
Ukraine,2022-03-01 23:21:04,48.3794,31.1656,5040518,112459,,,11525.462515124758,0,0
United Arab Emirates,2022-04-09 09:20:32,23.424076,53.847818,893312,2302,,,9032.111946938445,8576,0
United Kingdom,2022-04-09 09:20:32,55.0,-3.0,21716180,170367,,,31989.18587106703,2042833,7050
Uruguay,2022-04-09 09:20:32,-32.5228,-55.7658,893009,7181,,,25707.51817860183,30856,98
Uzbekistan,2022-04-09 09:20:32,41.377491,64.585262,238040,1637,,,711.2210841974437,865,0
Vanuatu,2022-04-09 09:20:32,-15.3767,166.9592,4922,3,,,1681.7001503348367,4758,2
Venezuela,2022-04-09 09:20:32,6.4238,-66.5897,521325,5692,,,1833.3311471330487,3605,37
Vietnam,2022-04-09 09:20:32,14.058324,108.277199,10135789,42768,,,10412.92022917572,4686854,1540
West Bank and Gaza,2022-04-09 09:20:32,31.9522,35.2332,656287,5655,,,12864.800674949856,2994,52
Winter Olympics 2022,2022-04-09 09:20:32,39.9042,116.4074,535,0,,,,0,0
Yemen,2022-04-09 09:20:32,15.552727,48.516388,11812,2146,,,39.60307340234523,29,7
Zambia,2022-04-09 09:20:32,-13.133897,27.849332,317483,3967,,,1726.9569183041997,2497,7
Zimbabwe,2022-04-09 09:20:32,-19.015438,29.154857,246925,5457,,,1661.3484006212234,5377,49
